ISBN;Title;Author;Publisher;Genere ;Published_year;Language;Quanity
9791259572875;Better. Ossessione;Leighton Carrie;MAGAZZINI SALANI;FICTION;10/3/23;ENGLISH;3
9788804760597;Le armi della luce;Follett Ken;MONDADORI;FICTION;9/26/23;ITALIAN;1
9788855441858;Anime elettriche. Love me love me. Vol. 2;Stefania S.;SPERLING & KUPFER;FICTION;10/3/23;ENGLISH;1
9788804748700;La felicità al principio;Ferro Tiziano;MONDADORI;FICTION;10/3/23;ENGLISH;1
9791259853103;Quando eravamo i padroni del mondo. Roma: l'impero infinito;Cazzullo Aldo;HARPERCOLLINS ITALIA;ROMANCE;9/26/23;ITALIAN;1
9788867905348;Fatti una risata;Pera Toons;TUNUÉ;CHILDRENS_LITERATURE;10/3/23;ITALIAN;3
9788807035753;Il vento conosce il mio nome;Allende Isabel;FELTRINELLI;FICTION;9/12/23;ITALIAN;1
9788891840189;Mari e monti in cucina. Ricette buone e genuine della tradizione italiana;AA.VV.;MONDADORI ELECTA;-;10/2/23;ITALIAN;1
9788804781653;Resisti, cuore. L'Odissea e l'arte di essere mortali;D'Avenia Alessandro;MONDADORI;FICTION;9/19/23;ENGLISH;1
9788822778918;Una ragazza d'altri tempi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;9/5/23;ENGLISH;1
9791221208726;La storia di Cesare. Scegliere a occhi chiusi la felicità;Mastroianni Valentina;DE AGOSTINI;ROMANCE;9/26/23;ITALIAN;1
9788838945625;La morra cinese;Malvaldi Marco;SELLERIO EDITORE PALERMO;FICTION;9/19/23;ENGLISH;1
9788806257620;Grande meraviglia;Ardone Viola;EINAUDI;FICTION;9/19/23;ENGLISH;1
9788855634526;Mini stickers attacca-stacca. Gold e silver (Titoli sfusi);AA.VV.;EDIBIMBI;CHILDRENS_LITERATURE;6/1/23;ITALIAN;1
9788842934844;La portalettere;Giannone Francesca;NORD;FICTION;1/10/23;ENGLISH;1
9788804776444;La speranza africana. La terra del futuro concupita, incompresa, sorprendente;Rampini Federico;MONDADORI;ROMANCE;9/19/23;ITALIAN;1
9788806221898;Accabadora;Murgia Michela;EINAUDI;FICTION;5/20/14;ENGLISH;1
9788804761327;Le altalene;Corona Mauro;MONDADORI;FICTION;9/5/23;ENGLISH;1
9788820077150;Holly;King Stephen;SPERLING & KUPFER;FICTION;9/5/23;ITALIAN;1
9788820078690;Tu non sei i tuoi genitori. Libera il tuo cuore dalle scelte di chi ti ha rovinato la vita. Anche se non voleva!;Alonzi Maria Beatrice;SPERLING & KUPFER;-;10/3/23;ITALIAN;1
9788809898059;Il mio primo dizionario. Nuovo MIOT;AA.VV.;GIUNTI EDITORE;CHILDRENS_LITERATURE;1/27/21;ITALIAN;1
9798854698795;Il mondo al contrario;Vannacci Roberto;INDEPENDENTLY PUBLISHED;ROMANCE;8/10/23;ITALIAN;1
9788806259587;Stella Maris;McCarthy Cormac;EINAUDI;FICTION;9/26/23;ITALIAN;1
9788822778000;In treno con l'assassino;Benedict Alexandra;NEWTON COMPTON EDITORI;FICTION;9/30/23;ITALIAN;1
9788804763888;Prendetevi la luna. Un dialogo tra generazioni;Crepet Paolo;MONDADORI;ROMANCE;6/27/23;ITALIAN;1
9788822642431;Dragon Ball Super. Vol. 20;Toriyama Akira;STAR COMICS;FICTION;9/27/23;ITALIAN;1
9788822779571;Facciamo finta che sia solo un gioco;Armas Elena;NEWTON COMPTON EDITORI;FICTION;9/30/23;ITALIAN;1
9788804774891;Tre ciotole. Rituali per un anno di crisi;Murgia Michela;MONDADORI;FICTION;5/16/23;ENGLISH;1
9788817183161;La versione di Giorgia;Sallusti Alessandro, Meloni Giorgia;RIZZOLI;ROMANCE;9/12/23;ITALIAN;1
9788839718723;Paolo. L'uomo che inventò il Cristianesimo;Augias Corrado;RAI LIBRI;ROMANCE;9/5/23;ITALIAN;1
9788891839251;In cucina con la friggitrice ad aria. Oltre 200 ricette facilissime. Fatto in casa da Benedetta;Rossi Benedetta;MONDADORI ELECTA;-;6/20/23;ITALIAN;1
9788893083522;Emergenza colori;Ninna e Matti;NORD-SUD;CHILDRENS_LITERATURE;10/3/23;ITALIAN;1
9788845938320;Maniac;Labatut Benjamín;ADELPHI;FICTION;9/29/23;ITALIAN;1
9788884746900;Il mondo al contrario;Vannacci Roberto;IL CERCHIO;ROMANCE;9/20/23;ITALIAN;1
9788856692136;E basta con 'sto fascismo. Cari compagni, ci avete rotto...;Capezzone Daniele;PIEMME;ROMANCE;10/3/23;ITALIAN;1
9788800500876;Il Devoto-Oli junior. Il mio primo vocabolario di ENGLISH;Devoto Giacomo;LE MONNIER;CHILDRENS_LITERATURE;1/1/22;ITALIAN;1
9788822762405;Due cuori in affitto;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;4/7/22;ENGLISH;1
9788817140973;Vita mia. Giappone, 1943. Memorie di una bambina ENGLISHa in un campo di prigionia;Maraini Dacia;RIZZOLI;ROMANCE;10/3/23;ITALIAN;1
9788892762459;Come d'aria;D'Adamo Ada;ELLIOT;FICTION;1/13/23;ENGLISH;1
9788807897559;Ue Feltrinelli 1+1 (2023);AA.VV.;FELTRINELLI;UNKNOWN;3/28/23;ITALIAN;1
9791280229670;Donne che pensano troppo;Nolen-Hoeksema Susan;LIBRERIA PIENOGIORNO;ROMANCE;3/1/23;ITALIAN;1
