;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9791259572875;Better. Ossessione;Leighton Carrie;MAGAZZINI SALANI;FICTION;03/10/2023;ITALIANO
9788804760597;Le armi della luce;Follett Ken;MONDADORI;FICTION;26/09/2023;STRANIERO
9788855441858;Anime elettriche. Love me love me. Vol. 2;Stefania S.;SPERLING & KUPFER;FICTION;03/10/2023;ITALIANO
9788804748700;La felicitÖ al principio;Ferro Tiziano;MONDADORI;FICTION;03/10/2023;ITALIANO
9791259853103;Quando eravamo i padroni del mondo. Roma: l'impero infinito;Cazzullo Aldo;HARPERCOLLINS ITALIA;NON FICTION GENERALI;26/09/2023;
9788867905348;Fatti una risata;Pera Toons;TUNUê;BAMBINI/RAGAZZI;03/10/2023;
9788807035753;Il vento conosce il mio nome;Allende Isabel;FELTRINELLI;FICTION;12/09/2023;STRANIERO
9788891840189;Mari e monti in cucina. Ricette buone e genuine della tradizione italiana;AA.VV.;MONDADORI ELECTA;NON FICTION VARIE;02/10/2023;
9788804781653;Resisti, cuore. L'Odissea e l'arte di essere mortali;D'Avenia Alessandro;MONDADORI;FICTION;19/09/2023;ITALIANO
9788822778918;Una ragazza d'altri tempi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;05/09/2023;ITALIANO
9791221208726;La storia di Cesare. Scegliere a occhi chiusi la felicitÖ;Mastroianni Valentina;DE AGOSTINI;NON FICTION GENERALI;26/09/2023;
9788838945625;La morra cinese;Malvaldi Marco;SELLERIO EDITORE PALERMO;FICTION;19/09/2023;ITALIANO
9788806257620;Grande meraviglia;Ardone Viola;EINAUDI;FICTION;19/09/2023;ITALIANO
9788855634526;Mini stickers attacca-stacca. Gold e silver (Titoli sfusi);AA.VV.;EDIBIMBI;BAMBINI/RAGAZZI;01/06/2023;
9788842934844;La portalettere;Giannone Francesca;NORD;FICTION;10/01/2023;ITALIANO
9788804776444;La speranza africana. La terra del futuro concupita, incompresa, sorprendente;Rampini Federico;MONDADORI;NON FICTION GENERALI;19/09/2023;
9788806221898;Accabadora;Murgia Michela;EINAUDI;FICTION;20/05/2014;ITALIANO
9788804761327;Le altalene;Corona Mauro;MONDADORI;FICTION;05/09/2023;ITALIANO
9788820077150;Holly;King Stephen;SPERLING & KUPFER;FICTION;05/09/2023;STRANIERO
9788820078690;Tu non sei i tuoi genitori. Libera il tuo cuore dalle scelte di chi ti ha rovinato la vita. Anche se non voleva!;Alonzi Maria Beatrice;SPERLING & KUPFER;NON FICTION VARIE;03/10/2023;
9788809898059;Il mio primo dizionario. Nuovo MIOT;AA.VV.;GIUNTI EDITORE;BAMBINI/RAGAZZI;27/01/2021;
9798854698795;Il mondo al contrario;Vannacci Roberto;INDEPENDENTLY PUBLISHED;NON FICTION GENERALI;10/08/2023;
9788806259587;Stella Maris;McCarthy Cormac;EINAUDI;FICTION;26/09/2023;STRANIERO
9788822778000;In treno con l'assassino;Benedict Alexandra;NEWTON COMPTON EDITORI;FICTION;30/09/2023;STRANIERO
9788804763888;Prendetevi la luna. Un dialogo tra generazioni;Crepet Paolo;MONDADORI;NON FICTION GENERALI;27/06/2023;
9788822642431;Dragon Ball Super. Vol. 20;Toriyama Akira;STAR COMICS;FICTION;27/09/2023;STRANIERO
9788822779571;Facciamo finta che sia solo un gioco;Armas Elena;NEWTON COMPTON EDITORI;FICTION;30/09/2023;STRANIERO
9788804774891;Tre ciotole. Rituali per un anno di crisi;Murgia Michela;MONDADORI;FICTION;16/05/2023;ITALIANO
9788817183161;La versione di Giorgia;Sallusti Alessandro, Meloni Giorgia;RIZZOLI;NON FICTION GENERALI;12/09/2023;
9788839718723;Paolo. L'uomo che inventï il Cristianesimo;Augias Corrado;RAI LIBRI;NON FICTION GENERALI;05/09/2023;
9788891839251;In cucina con la friggitrice ad aria. Oltre 200 ricette facilissime. Fatto in casa da Benedetta;Rossi Benedetta;MONDADORI ELECTA;NON FICTION VARIE;20/06/2023;
9788893083522;Emergenza colori;Ninna e Matti;NORD-SUD;BAMBINI/RAGAZZI;03/10/2023;
9788845938320;Maniac;Labatut Benjam°n;ADELPHI;FICTION;29/09/2023;STRANIERO
