ISBN;Title;Author;Publisher;Genere ;Published_year;Language;Quanity
9791259572875;Better. Ossessione;Leighton Carrie;MAGAZZINI SALANI;FICTION;10/3/2023;ENGLISH;3
9788804760597;Le armi della luce;Follett Ken;MONDADORI;FICTION;9/26/23;ITALIAN;1
9788855441858;Anime elettriche. Love me love me. Vol. 2;Stefania S.;SPERLING & KUPFER;FICTION;10/3/2023;ENGLISH;1
9788804748700;La felicitÃ  al principio;Ferro Tiziano;MONDADORI;FICTION;10/3/2023;ENGLISH;1
9791259853103;Quando eravamo i padroni del mondo. Roma: l'impero infinito;Cazzullo Aldo;HARPERCOLLINS ITALIA;ROMANCE;9/26/23;ITALIAN;1
9788867905348;Fatti una risata;Pera Toons;TUNUÃ‰;CHILDRENS_LITERATURE;10/3/2023;ITALIAN;3
9788807035753;Il vento conosce il mio nome;Allende Isabel;FELTRINELLI;FICTION;9/12/2023;ITALIAN;1
9788891840189;Mari e monti in cucina. Ricette buone e genuine della tradizione italiana;AA.VV.;MONDADORI ELECTA;-;10/2/2023;ITALIAN;1
9788804781653;Resisti, cuore. L'Odissea e l'arte di essere mortali;D'Avenia Alessandro;MONDADORI;FICTION;9/19/23;ENGLISH;1
9788822778918;Una ragazza d'altri tempi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;9/5/2023;ENGLISH;1
9791221208726;La storia di Cesare. Scegliere a occhi chiusi la felicitÃ ;Mastroianni Valentina;DE AGOSTINI;ROMANCE;9/26/23;ITALIAN;1
9788838945625;La morra cinese;Malvaldi Marco;SELLERIO EDITORE PALERMO;FICTION;9/19/23;ENGLISH;1
9788806257620;Grande meraviglia;Ardone Viola;EINAUDI;FICTION;9/19/23;ENGLISH;1
9788855634526;Mini stickers attacca-stacca. Gold e silver (Titoli sfusi);AA.VV.;EDIBIMBI;CHILDRENS_LITERATURE;6/1/2023;ITALIAN;1
9788842934844;La portalettere;Giannone Francesca;NORD;FICTION;1/10/2023;ENGLISH;1
9788804776444;La speranza africana. La terra del futuro concupita, incompresa, sorprendente;Rampini Federico;MONDADORI;ROMANCE;9/19/23;ITALIAN;1
9788806221898;Accabadora;Murgia Michela;EINAUDI;FICTION;5/20/14;ENGLISH;1
9788804761327;Le altalene;Corona Mauro;MONDADORI;FICTION;9/5/2023;ENGLISH;1
9788820077150;Holly;King Stephen;SPERLING & KUPFER;FICTION;9/5/2023;ITALIAN;1
9788867903948;Ridi che è meglio;Pera Toons;TUNUÉ;BAMBINI/RAGAZZI;10/29/2020;ITALIAN;1
9791221208863;Giocando s'imparla. La guida pratica per stimolare il linguaggio del tuo bambino;Dell'Ariccia Dana;DE AGOSTINI;NON FICTION VARIE;3/10/2023;ITALIAN;1
9788831780988;La canzone di Achille;Miller Madeline;MARSILIO;FICTION;10/1/2019;ENGLISH;1
9788845926983;Follia;McGrath Patrick;ADELPHI;FICTION;03/21/2012;ENGLISH;1
9788809932982;Tascabili narrativa Giunti 1+1 (2023);AA.VV.;GIUNTI EDITORE;UNKNOWN;5/7/2023;ITALIAN;1
9788845938115;L'ultima cosa bella sulla faccia della terra;Bible Michael;ADELPHI;FICTION;5/9/2023;ENGLISH;1
9788867904730;Ridi a CreepyPelle;Pera Toons;TUNUÉ;BAMBINI/RAGAZZI;4/10/2022;ITALIAN;1
9788809959699;Teddy;Rekulak Jason;GIUNTI EDITORE;FICTION;7/9/2022;ENGLISH;1
9788804769828;Twisted love. Ediz. italiana;Huang Ana;MONDADORI;FICTION;03/28/2023;ENGLISH;1
9788811608769;Finché il caffè è caldo;Kawaguchi Toshikazu;GARZANTI;FICTION;12/3/2020;ENGLISH;1
9788834922392;Tokyo revengers. Vol. 30;Wakui Ken;EDIZIONI BD;FICTION;09/26/2023;ENGLISH;1
9788811008002;I fiori hanno sempre ragione;Schira Roberta;GARZANTI;FICTION;5/9/2023;ITALIANO;1
9788830460584;I predoni;Cussler Clive;LONGANESI;FICTION;12/9/2023;ENGLISH;1
9788809885134;Il mio primo dizionario. Nuovo MIOT;AA.VV.;GIUNTI EDITORE;BAMBINI/RAGAZZI;01/27/2021;ITALIAN;1
9788817178495;Stella di mare;Pulixi Piergiorgio;RIZZOLI;FICTION;5/9/2023;ITALIANO;1
9788864201870;One piece. New edition. Vol. 1;Oda Eiichiro;STAR COMICS;FICTION;02/20/2008;ENGLISH;1
9788822742698;Matrimonio di convenienza;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;05/28/2020;ITALIANO;1
9791259673824;Cicatrice;Gómez-Jurado Juan;FAZI;FICTION;3/10/2023;ENGLISH;1
9788809971066;Le chiavi di casa;Ricchiuto Paolo;GIUNTI EDITORE;FICTION;09/27/2023;ITALIANO;1
9788806259570;Il passeggero;McCarthy Cormac;EINAUDI;FICTION;2/5/2023;ENGLISH;1
9788859015833;La linea del 20. Metodo analogico per l'apprendimento del calcolo;Bortolato Camillo;ERICKSON;NON FICTION GENERALI;12/7/2018;ENGLISH;1
